FIPS,County,Years of Potential Life Lost Rate,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Ratio,% Uninsured,% Children in Poverty,% Unemployed,% Households with Broadband Access,PCP_Ratio_Numeric
37001,Alamance,9570.5766712,19.7,98.306630392,2595:1,12.580197056,16.0,3.394925088,88.18690551,2595.0
37003,Alexander,10846.763323,17.3,91.670396394,5235:1,11.926506544,17.4,3.2198967412,84.634760705,5235.0
37005,Alleghany,8598.0525654,21.1,120.23113089,1004:1,17.302539237,24.5,4.4772620722,81.045751634,1004.0
37007,Anson,15560.325955,23.4,130.86113424,2206:1,12.467216785,33.0,4.033908214,84.387779649,2206.0
37009,Ashe,9771.2456655,17.8,98.300800449,2055:1,13.603904444,22.0,3.0031201248,80.181681807,2055.0
37011,Avery,9110.6063518,17.4,87.43243857,4466:1,15.698793073,22.1,3.02641703,82.604055496,4466.0
37013,Beaufort,12292.83971,19.9,112.22953986,1933:1,12.207784229,30.5,4.0462427746,84.578338481,1933.0
37015,Bertie,14627.582675,25.4,103.90462649,3501:1,11.694702935,33.5,4.3768651414,69.903189066,3501.0
37017,Bladen,16587.919219,20.9,153.36451323,4218:1,13.971539457,29.1,4.2237993523,83.420713365,4218.0
37019,Brunswick,10047.602349,14.8,102.49599797,2289:1,10.2509465,16.8,4.2059868087,92.653175244,2289.0
37021,Buncombe,8557.0057768,13.3,110.31730146,711:1,13.109770556,16.4,2.7065655549,87.727910238,711.0
37023,Burke,11521.193535,18.4,108.77910009,1593:1,13.47497526,24.4,3.2802157392,82.778133973,1593.0
37025,Cabarrus,7537.1455383,15.3,79.186705949,1264:1,8.7938851026,12.4,3.2445663642,91.270374518,1264.0
37027,Caldwell,12862.81242,18.9,107.05639122,2012:1,13.088596295,18.1,3.3837174087,85.158395898,2012.0
37029,Camden,9189.3889958,15.5,88.099258498,5418:1,9.4065792303,8.5,3.2528856243,92.223910841,5418.0
37031,Carteret,10599.324168,15.3,111.69604821,1632:1,12.258668047,14.4,3.2424826405,92.018719149,1632.0
37033,Caswell,10423.128188,21.0,121.16066612,4543:1,12.478643296,23.3,3.5521628499,79.578195229,4543.0
37035,Catawba,11083.710082,17.9,92.323580463,1570:1,11.952563122,15.6,3.2910403568,87.481787089,1570.0
37037,Chatham,7551.9065025,16.1,91.83700244,1067:1,11.45377427,11.7,2.9571657431,86.677208322,1067.0
37039,Cherokee,12641.295517,20.1,129.19093315,2431:1,13.45510805,24.5,3.8657913931,82.211317283,2431.0
37041,Chowan,10587.934218,20.7,102.2332935,1372:1,11.456677266,24.6,3.6004056795,83.302721656,1372.0
37043,Clay,10395.654813,18.3,110.91939857,2262:1,13.265967094,22.2,3.7098692033,79.071612775,2262.0
